season,episode,title,date,genre,director,writers,stars,content
7,22,The Proton Transmogrification,"Thu, May 1, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The visual effects on this Star Wars-themed episode were created by ILM, the company which did the visual effects on the Star Wars movies. The episode was filmed much earlier than usual and out of sequence, to accommodate Bob Newhart's schedule, and to give ILM time to create the effects."
7,23,The Gorilla Dissolution,"Thu, May 8, 2014","Comedy, Romance",Peter Chakos,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Wil Wheaton did wind up making a cameo in Sharknado 2: The Second One (2014).
7,24,The Status Quo Combustion,"Thu, May 15, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Mrs Wolowitz' first name, Debbie, is finally revealed."
8,1,The Locomotion Interruption,"Mon, Sep 22, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Kevin Sussman (Stuart) once again receives a series' regular credit, after being demoted to guest star for the entire seventh season."
8,2,The Junior Professor Solution,"Mon, Sep 22, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon hoped to lure his class into answering Newton as a scientist who contributed to the development of Calculus and had a biscuit named after him so that he could correct them. Although not revealed in the episode, the correct answer is Leibniz, who also contributed to Calculus and has a biscuit that bears his name, ""Leibniz-keks""."
8,3,The First Pitch Insufficiency,"Mon, Sep 29, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The Mars rover would take about 7 minutes to deliver the ball to home plate.
8,4,The Hook-up Reverberation,"Mon, Oct 6, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Contains what is supposed to be the final Chuck Lorre Vanity Card, #463, the vanity cards which are shown during the end credits of Chuck Lorre's television shows. Chuck Lorre has since reneged and there is a #464."
8,5,The Focus Attenuation,"Mon, Oct 13, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","In the scene where Amy and Bernadette return to the hotel room drunk, the amused reaction of Kaley Cuoco (Penny) to their drunken antics is genuine."
8,6,The Expedition Approximation,"Mon, Oct 20, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The mining song Sheldon sings is the same song that is heard at the beginning of the documentary Harlan County U.S.A. (1976) which is about the Harlan County, KY coal miners who were fighting for a union contract with UMWA."
8,7,The Misinterpretation Agitation,"Thu, Oct 30, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Movie memorabilia Items found in Dr. Lorvis' collection include Magneto's helmet from the X-men movies, Hellboy's gun, Indiana Jones' hat and whip, the robots from both 금지된 행성 (1956) and The Day the Earth Stood Still (1951), the Borg Queen's headpiece, Mr. Freeze and Batman suits from Batman & Robin (1997), Maria, the female robot from Metropolis (1927), RoboCop, Terminator, Superman costume, and a Martian from Mars Attacks! (1996)."
8,8,The Prom Equivalency,"Thu, Nov 6, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon said while trying to figure out his feelings of love for Amy, he said he considered he had an alien parasite. In The Alien Parasite Hypothesis (2010), Amy got aroused by Penny's old boyfriend Zack. While trying to figure out the feelings, Sheldon and Amy considered she had an alien parasite."
8,9,The Septum Deviation,"Thu, Nov 13, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The normal ""Chuck Lorre Productions"" card was replaced with a dedication to Carol Ann Susi (Mrs. Wolowitz) who died three days before this episode originally premiered. In reruns, though, the usual Vanity Card is shown."
8,10,The Champagne Reflection,"Thu, Nov 20, 2014","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode was filmed the day Carol Ann Susi(the voice of Mrs. Wolowitz) was announced to have passed away. Most of the studio audience didn't know due to waiting around outside all day, and the cast did an outstanding job of getting through filming like true professionals. After filming, it was announced to the studio audience and many tears were shed."
8,11,The Clean Room Infiltration,"Thu, Dec 11, 2014",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Although having made several prior appearances on the show, this is the first time that Brian George as Raj's father appears on screen with the other characters and not via web cam."
8,12,The Space Probe Disintegration,"Thu, Jan 8, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","The Hindu temple seen when Raj takes Howard to visit, is actually the Malibu Hindu Temple, at 1600 Las Virgenes Canyon Road, in Calabasas, CA. (That's about 40 miles West of Pasadena, where the guys live and work.)"
8,13,The Anxiety Optimization,"Thu, Jan 29, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the penultimate time that ""Soft Kitty"" is sung, due to a lawsuit by the daughters of the original composer for using the song without their permission. Even though the lyrics were slightly altered and the lawsuit was later dropped, the song is only heard once more in The Recollection Dissipation (2017)."
8,14,The Troll Manifestation,"Thu, Feb 5, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","In The Raiders Minimization (2013), Sheldon mocked Amy's favorite show 초원의 집 (1974) because of several anachronisms in it (such as peanut butter and telephones that wouldn't have been there in the late 19th century), saying that if he knew the show was about time travel, he would have watched it sooner. This remark may have inspired Amy to write her own Little House fan-fiction featuring a time traveler."
8,15,The Comic Book Store Regeneration,"Thu, Feb 19, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco",The episode won an Emmy Award for Outstanding Multi-Camera Picture Editing for a Comedy Series.
8,16,The Intimacy Acceleration,"Thu, Feb 26, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","The late Dr. David Saltzberg is mentioned as a key character in the escape room that Emily, Raj, Leonard and Amy attend. In reality, Dr. David Saltzberg is the science consultant for the show."
8,17,The Colonization Application,"Thu, Mar 5, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Instead of Mr. Lorre's usual vanity card, the credits end with a tribute to Leonard Nimoy, who died on 27 February, 2015. The tribute reads:""The impact you had on our show and on our lives is everlasting."""
8,18,The Leftover Thermalization,"Thu, Mar 12, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco",All entries contain spoilers
8,19,The Skywalker Incursion,"Thu, Apr 2, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Sheldon runs away from the guard shack the guard announces a code ""AA-23"". Princess Leia was held in detention block AA-23 of the Death Star."
8,20,The Fortification Implementation,"Thu, Apr 9, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","When Howard's brother finds out about Howard and the robot arm, he says ""Because that's all you need"". This was also said in the episode where Howard got 'stuck' in the robot arm, The Robotic Manipulation (2010), as the answer to the question why he only built the arm and not the rest of the robot."
8,21,The Communication Deterioration,"Thu, Apr 16, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco",This is the second time that Penny does Sheldon's knock to him on his apartment door within six years. The first time was in The Panty Piñata Polarization (2008) (S2E7).
8,22,The Graduation Transmission,"Thu, Apr 23, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","The on-hold music, ""Feels So Good"" by Chuck Mangione, is the same tune Sheldon plays on a flugelhorn in his dream in The Relaxation Integration (2017)."
8,23,The Maternal Combustion,"Thu, Apr 30, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","There were plans to have Mary Cooper and Beverly Hofstadter meet as early as season 6, but it didn't happen until this episode because Laurie Metcalf and Christine Baranski weren't available at the same time any sooner."
8,24,The Commitment Determination,"Thu, May 7, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon wonders if he should start watching The Flash. On that show, one of the characters, Cisco, is seen wearing a Bazinga t-shirt in at least one episode."
9,1,The Matrimonial Momentum,"Mon, Sep 21, 2015","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The lowest rated episode of the series. (as of November 2016)
9,2,The Separation Oscillation,"Mon, Sep 28, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Final cast listing wherein [link=nm0192505 is credited as ""Kaley Cuoco-Sweeting"", following the announcement of her divorce from Ryan Sweeting."
9,3,The Bachelor Party Corrosion,"Mon, Oct 5, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The van used is the actual van that had been owned by Richard Feynman.
9,4,The 2003 Approximation,"Mon, Oct 12, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The Flash t-shirt Sheldon is wearing after he decided to get back to his lifestyle in 2003 before meeting Leonard is the same t-shirt that he wore when he met Leonard for the first time in the origins episode The Staircase Implementation (2010).
9,5,The Perspiration Implementation,"Mon, Oct 19, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","One of the internet comments about Stuart's store mentions that the owner never blinked during an entire conversation. During the first scene in the store a poster can be seen behind Stuart with the text ""Keep Calm and Don't Blink"". (The poster is inspired by 닥터 후 (2005) and the famous British ""Keep Calm"" poster.)"
9,6,The Helium Insufficiency,"Mon, Oct 26, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Regarding liquid helium, reference is made to party supply stores and to the national reserve. Both of those sources have helium as a gas. The really hard part of making liquid helium is not obtaining the gas but getting it cold enough to liquefy (about -269 degrees C). And because no container is perfectly insulated a tank of liquid helium will warm up and boil off in just a few days."
9,7,The Spock Resonance,"Thu, Nov 5, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The documentary about Spock that is being filmed in this episode is a genuine title called For the Love of Spock (2016). In addition to clips from this episode being shown in the documentary, Jim Parsons, Bill Prady and Mayim Bialik were all interviewed for it."
9,8,The Mystery Date Observation,"Thu, Nov 12, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is Lio Tipton's second appearance on the show, having first appeared as herself in The Panty Piñata Polarization (2008) as one of the models from America's Next Top Model (2003) tracked down by Howard and Raj."
9,9,The Platonic Permutation,"Thu, Nov 19, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Penny asks Leonard who her favorite Backstreet Boy is, and he tells her that she is team *NSync all the way. Nick Carter from BSB played Kaley Cuoco's boyfriend on 8 Simple Rules... for Dating My Teenage Daughter (2002) and The Hollow (2004)."
9,10,The Earworm Reverberation,"Thu, Dec 10, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","There is a real United Nations Office for Outer Space Affairs (UNOOSA), but it is the United Nations office responsible for promoting international cooperation in the peaceful uses of outer space, not one dedicated to contact with extraterrestrial life."
9,11,The Opening Night Excitation,"Thu, Dec 17, 2015",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The only episode where the episode title is shown on-screen.
9,12,The Sales Call Sublimation,"Thu, Jan 7, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon and Raj name the asteroid they discover after Amy. In real life there's an asteroid named for Sheldon: 246247 Sheldoncooper, discovered on September 20, 2007."
9,13,The Empathy Optimization,"Thu, Jan 14, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Amy is still away at a convention and only shows up in a few brief scenes on a monitor in this episode and the previous one, so that Mayim Bialik could take some time off from the show."
9,14,The Meemaw Materialization,"Thu, Feb 4, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Meemaw wonders why Penny and Leonard know about Sheldon's nickname ""Moonpie"" (because he's nummy-nummy and she could just eat him up), while Amy doesn't. The reason is that Penny had to search for Sheldon's flash drive in The Terminator Decoupling (2009), and found a letter from Meemaw where she called him Moonpie. She then made him explain the meaning of the term in exchange for her help."
9,15,The Valentino Submergence,"Thu, Feb 11, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Raj asks Howard and Leonard if they've ever broken up with anyone and Leonard says 'no'.Leonard broke up with Priya after she cheated on him and Stephanie when she became too intense in their relationship and tried to move in with him.
9,16,The Positive Negative Reaction,"Thu, Feb 18, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",This is the first episode this season where the whole gang are in the same scene together.
9,17,The Celebration Experimentation,"Thu, Feb 25, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Leslie Winkle returns and makes a special guest appearance. She was never mentioned between her previous appearance, season 3's The Lunar Excitation (2010), and this episode. This is Gilbert's final appearance on the show."
9,18,The Application Deterioration,"Thu, Mar 10, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",It is revealed that Howard is a federal NASA employee on loan to Cal Tech.
9,19,The Solder Excursion Diversion,"Thu, Mar 31, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Raj refers to rubbing one's testicles on a cryostat. A cryostat is a freezing microtome chamber (generally below -20°C) which contains a blade sharp enough to easily slice tissue sections at one fifth the thickness of a human hair.
9,20,The Big Bear Precipitation,"Thu, Apr 7, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","At the cabin, as always, Sheldon is sitting in his traditional spot: on the right seat of a couch that sits in the middle of the room."
9,21,The Viewing Party Combustion,"Thu, Apr 21, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The 왕좌의 게임 (2011) episode the group is getting ready to watch is The Red Woman (2016). Stuart has dressed himself up as the character Jon Snow (Kit Harington) from that series.
9,22,The Fermentation Bifurcation,"Thu, Apr 28, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Amy says that she and Howard last spent time together three years ago. This is a reference to the seventh season episode The Scavenger Vortex (2013) that was aired 2.5 years before: it refers to when the two were paired together for the scavenger hunt created by Raj, or the Neil Diamond concert the two said they should go to."
9,23,The Line Substitution Solution,"Thu, May 5, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","This is the first time that Beverly appears on the show without sharing a scene with Leonard, the first time that she appears in Penny's apartment, and the first time she has a conversation with Amy and Bernadette."
9,24,The Convergence Convergence,"Thu, May 12, 2016",No genre,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Johnny Galecki had met Judd Hirsch at the James Burrows tribute show long before this episode, and had personally asked him to play Leonard's father. Galecki really wanted Hirsch since he had already patterned Leonard after Hirsch' character Alex Reiger from Taxi (1978), who was also one of the more normal people in a group of crazies."
10,1,The Conjugal Conjecture,"Mon, Sep 19, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",This will be the second series in which Katey Sagal will play Kaley Cuoco's mother. The first one was 8 Simple Rules... for Dating My Teenage Daughter (2002).
10,2,The Military Miniaturization,"Mon, Sep 26, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Sheldon mentions the rediscovery of the Oobius depressus wasp after 101 years. The wasp was collected in traps set in the Midwest between August and October of 2015. The discovery was verified by the UC Riverside Entomology Research Museum in June 2016.
10,3,The Dependence Transcendence,"Mon, Oct 3, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","For the first time in the series, Sheldon admits he can't solve a math problem."
10,4,The Cohabitation Experimentation,"Mon, Oct 10, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon saying to Amy, ""You truly are a Goofus to my Gallant,"" is a reference to Highlights Magazine, a monthly magazine for children."
10,5,The Hot Tub Contamination,"Mon, Oct 17, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon tells Penny about a traumatizing incident in which he walked in on his father having sex with another woman, when Sheldon was 13. But on the prequel show Young Sheldon (2017), the incident happens differently. For one, Sheldon is 14, not 13, and he walks in on his parents having sex with each other, with his mother dressed in a German Beer Waitress costume, not on his father having sex with another woman. In fact, although his father flirted a little with a female neighbor, the show made it clear that they never had sex.
But this is only one of many discrepancies between what the adult Sheldon said about his family life on The Big Bang Theory (2007) and what is depicted on ""Young Sheldon"".
For example, the adult Sheldon made frequent references to his father having a serious drinking problem, but on the prequel, his father only enjoys an occasional beer, is never seen drunk, and seems like a moderate drinker. The adult Sheldon also talked about his parents fighting and bickering all the time, yet that doesn't happen on the prequel either. His parents have a normal number of familial disagreements, but nothing out of the ordinary."
10,6,The Fetal Kick Catalyst,"Thu, Oct 27, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","At the Van Nuys Comic-con, the table to Penny and Leonard's left is that of David Gerrold. He is a Hugo and Nebula award-winning American science fiction screenwriter and novelist. He wrote the Star Trek (1966) story The Trouble with Tribbles (1967) as well as dozens of novels, short stories, and TV scripts. He seems to be selling Tribbles at his table."
10,7,The Veracity Elasticity,"Thu, Nov 3, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","Ubbi Dubbi, spoken by Penny and Amy in this episode, was popularized by the 1970's children's show Zoom (1972). In this secret language, the letters ""ub"" are added in front of each vowel sound in every syllable of an existing word, e.g. ""hello"" becomes ""huballubo"". It may also have been the inspiration for Amy's invented language 'Op' from The Skank Reflex Analysis (2011), where the letters ""op"" are added to each consonant in a word (so ""hallo"" would become ""hop-a-lop-lop-o"")."
10,8,The Brain Bowl Incubation,"Thu, Nov 10, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Chuck Lorre's Vanity Cards simply stating ""Uh-oh"" was in reference to Donald Trump winning the 2016 Presidential Elections three days before the episode was broadcast."
10,9,The Geology Elevation,"Thu, Nov 17, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","Professor Stephen Hawking mentions he has been on ""Star Trek"" and ""The Simpsons"". He indeed appeared as a hologram of himself in ""Descent (1993)"" and voiced himself in four episodes of ""심슨 가족 (1989)"". He also appeared in ""Futurama (1999)"", which was made by the creators of ""The Simpsons""."
10,10,The Property Division Collision,"Thu, Dec 1, 2016","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",Amy's portrait of her and Penny was first seen in The Rothman Disintegration (2012).
10,11,The Birthday Synchronicity,"Thu, Dec 15, 2016","Comedy, Romance",Nikki Lorre,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The first appearance of Vernee Watson as nurse Althea since The Werewolf Transformation (2012), where we also learn her full name from her badge (Althea Davis). It is also Watson's final appearance on the show, although she would later play a different nurse in the spin-off series Young Sheldon (2017)."
10,12,The Holiday Summation,"Thu, Jan 5, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","The name of the man working at Sparkletts wearing an eye patch (the one that Sheldon asked if he could look behind it) mentioned in The Separation Oscillation (2015), is revealed to be Omar."
10,13,The Romance Recalibration,"Thu, Jan 19, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Penny's claim that Leonard has stopped trying in their marriage is somewhat unreasonable, since Leonard has always been the one to put most of the effort in their relationship. This previously led to a clash in The Tangible Affection Proof (2013) after Penny ruined one of Leonard's Valentine's Day efforts, and in The Romance Resonance (2013), Penny agreed to organize a romantic evening because Leonard had done all the previous ones."
10,14,The Emotion Detection Automation,"Thu, Feb 2, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","This episode features appearances of several (regular) guest actors who all played Raj' girlfriends: Kate Micucci as Lucy (last seen 78 episodes ago in The Itchy Brain Simulation (2013)); Laura Spencer as Emily Sweeney (last seen 20 episodes ago in The Application Deterioration (2016)); Alessandra Torresani as Claire (last seen 16 episodes ago in The Fermentation Bifurcation (2016)); and Katie Leclerc, who made one previous appearance as Deaf Emily in The Wiggly Finger Catalyst (2011). This is also the last appearance of all four characters in the series."
10,15,The Locomotion Reverberation,"Thu, Feb 9, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","The Nevada Northern Railway is an actual, operating railroad museum in Ely, Nevada (which really is 4 hours from any major airport!), and does offer rides, including allowing you to play engineer and operate the throttle on the moving train."
10,16,The Allowance Evaporation,"Thu, Feb 16, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",This is the shortest episode in the series.
10,17,The Comic-Con Conundrum,"Thu, Feb 23, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco",The boys mention the panels they are going to attend when they are at Comic-Con. The cast members of The Big Bang Theory (2007) themselves have appeared on panels at Comic-Con several times.
10,18,The Escape Hatch Identification,"Thu, Mar 9, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","Stuart has a baseball bat with barbed wire wrapped around it, a nod to 워킹 데드 (2010), where Negan wields a baseball bat, named Lucille, in a very aggressive fashion."
10,19,The Collaboration Fluctuation,"Thu, Mar 30, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Title reference: the cooperation between Sheldon and Amy, which fluctuates between working together and insulting each other."
10,20,The Recollection Dissipation,"Thu, Apr 6, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","In addition to English, Amy and Sheldon apparently have at least rudimentary skills in German, Mandarin, and Navajo. Sheldon and Amy could previously be seen making attempts at speaking German during their first ""Fun With Flags"" webisode in The Beta Test Initiation (2012). Sheldon was learning to speak Mandarin (poorly) during The Tangerine Factor (2008), and later recognized the tattoo on Penny's buttocks as the Chinese symbol for ""soup"" in The Adhesive Duck Deficiency (2009), so he may have used his knowledge to translate ""Soft Kitty"" into the language."
10,21,The Separation Agitation,"Thu, Apr 13, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco","Sheldon's physicist joke about Feynman, Einstein and Schrödinger in a bar refers to their specific theories about reality. Feynman was known for his simple visual representations of complex mathematical expressions (""It appears we're inside a joke""); Einstein's theory of Special Relativity states that synchronous movement of objects depends on who is observing these movements (""But only to an observer who saw us walk in simultaneously""). The thought experiment of 'Schrödinger's cat' (mentioned on the show several times since The Tangerine Factor (2008)) describes a cat in a closed box with a vial of poison set to break at an unknown time; the only way to know for certain if the cat has died is by looking inside the box (""If someone is looking in the window, I'm leaving""). Sheldon's joke about Heisenberg being told he was going 85 miles per hour refers to the 'Heisenberg Uncertainty Principle', or the inability to measure both an object's location and speed in one observation (""Darn it, now I don't know where I am"")."
10,22,The Cognition Regeneration,"Thu, Apr 27, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco","Despite scenes set at the Comic Book Store and the Wolowitz's residence, Stuart (Kevin Sussman) is absent from this episode. However, Brian Thomas Smith, a previous regular guest star, makes another appearance as Zack, his first since The Fermentation Bifurcation (2016) a year before."
10,23,The Gyroscopic Collapse,"Thu, May 4, 2017","Comedy, Romance",Anthony Rich,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco","Apartment 3A (the apartment below Leonard's) is shown to be empty. This implies that Mrs. Gunderson, who appeared in The Lunar Excitation (2010), no longer lives there."
10,24,The Long Distance Dissonance,"Thu, May 11, 2017","Comedy, Romance",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco",Amy's hotel room is her former apartment
